parameter,index,value
mu_max,1,0.825277990161462
kd,2,0.040685615544104
Y_XCom_SLNT,3,0.167872770000367
Y_XCom_S2FL,4,0.588247749979628
Y_XCom_3SL,5,0.86037139731894
Y_XCom_SLactose,6,1.12092432583922
Y_XCom_SGalactose,7,73.250885360715
Y_XCom_SGlucose,8,66.0457602716656
Y_XCom_SNeu5Ac,9,32.324746628002
Y_XCom_SFucose,10,0.781258707604984
k1,11,1e-05
k2,12,0.0691605995476998
k3,13,0.0705657819791634
k4,14,0.481864305388197
K_SLNT,15,11.6144659070009
K_S2FL,16,75
K_S3SL,17,0.0365836409129027
K_SLactose,18,74.9147088794802
K_SGalactose,19,14.0701033883698
K_SGlucose,20,6.95249953680168
K_SNeu5Ac,21,38.6679877352511
K_SFucose,22,0.18729693033817
