exp,parameter,value
bbre,mu_max,1.94497883056695
bbre,mu_max,1.94224480849594
bbre,mu_max,1.8507707307803
bbre,mu_max,1.79949770038923
bbre,mu_max,1.94567222986785
bbre,mu_max,1.48684960436061
bbre,mu_max,1.87619108651668
bbre,mu_max,1.94297503207869
bbre,mu_max,1.94564608463387
bbre,mu_max,1.94963355399198
bbre,mu_max,1.47588231720608
bbre,mu_max,1.80114749522832
bbre,mu_max,1.79847764505301
bbre,mu_max,1.42139746232441
bbre,mu_max,1.42139746232441
bbre,mu_max,1.9253693078934
bbre,mu_max,1.75803186321746
bbre,mu_max,1.94567222986785
bbre,mu_max,1.5029936446273
bbre,mu_max,1.75803186321746
bbre,kd,0.0999992145193302
bbre,kd,0.0999998241901935
bbre,kd,0.0889667262116799
bbre,kd,0.0822000588383864
bbre,kd,0.1
bbre,kd,0.0566893342541471
bbre,kd,0.0906034118221729
bbre,kd,0.1
bbre,kd,0.0999999939008619
bbre,kd,0.0999937347474453
bbre,kd,0.055561063903459
bbre,kd,0.0829200263571023
bbre,kd,0.0814627047874765
bbre,kd,0.0404504526256715
bbre,kd,0.0404504526256715
bbre,kd,0.0982009104319131
bbre,kd,0.0884633714045676
bbre,kd,0.1
bbre,kd,0.049628890833657
bbre,kd,0.0884633714045676
bbre,Y_XCom_S2FL,0.482396037690614
bbre,Y_XCom_S2FL,0.482276300035522
bbre,Y_XCom_S2FL,0.413927292409655
bbre,Y_XCom_S2FL,0.388821762785544
bbre,Y_XCom_S2FL,0.48234988455455
bbre,Y_XCom_S2FL,0.329012283486331
bbre,Y_XCom_S2FL,0.446161141405769
bbre,Y_XCom_S2FL,0.4810859209544
bbre,Y_XCom_S2FL,0.482490447945457
bbre,Y_XCom_S2FL,0.480486160157631
bbre,Y_XCom_S2FL,0.320535397260673
bbre,Y_XCom_S2FL,0.405320995825963
bbre,Y_XCom_S2FL,0.389514199144107
bbre,Y_XCom_S2FL,0.239839649315793
bbre,Y_XCom_S2FL,0.239839649315793
bbre,Y_XCom_S2FL,0.473559926314028
bbre,Y_XCom_S2FL,0.469456313718525
bbre,Y_XCom_S2FL,0.48234988455455
bbre,Y_XCom_S2FL,0.276191412571072
bbre,Y_XCom_S2FL,0.469456313718525
bbre,Y_XCom_SGalactose,74.9999999899461
bbre,Y_XCom_SGalactose,61.9895360000264
bbre,Y_XCom_SGalactose,75
bbre,Y_XCom_SGalactose,5.81880869434228
bbre,Y_XCom_SGalactose,62.5426316878291
bbre,Y_XCom_SGalactose,75
bbre,Y_XCom_SGalactose,7.32002627361475
bbre,Y_XCom_SGalactose,37.0249993785668
bbre,Y_XCom_SGalactose,9.30686116846937
bbre,Y_XCom_SGalactose,59.310105925725
bbre,Y_XCom_SGalactose,1e-05
bbre,Y_XCom_SGalactose,4.84312575662146
bbre,Y_XCom_SGalactose,32.6733931393457
bbre,Y_XCom_SGalactose,9.84311730300105
bbre,Y_XCom_SGalactose,9.84311730300105
bbre,Y_XCom_SGalactose,29.5170520247407
bbre,Y_XCom_SGalactose,30.1172395839311
bbre,Y_XCom_SGalactose,62.5426316878291
bbre,Y_XCom_SGalactose,39.9450879995983
bbre,Y_XCom_SGalactose,30.1172395839311
bbre,Y_XCom_SGlucose,6.77796831327586
bbre,Y_XCom_SGlucose,73.6975167500476
bbre,Y_XCom_SGlucose,9.77101821899357
bbre,Y_XCom_SGlucose,29.2715423471822
bbre,Y_XCom_SGlucose,39.9513759176531
bbre,Y_XCom_SGlucose,15.5798223651976
bbre,Y_XCom_SGlucose,9.2534412856566
bbre,Y_XCom_SGlucose,1.03801204805988
bbre,Y_XCom_SGlucose,4.51805793392467
bbre,Y_XCom_SGlucose,0.182634953083225
bbre,Y_XCom_SGlucose,73.2407753408779
bbre,Y_XCom_SGlucose,16.7768265356428
