parameter,index,value
mu_max,1,1.94963355399198
kd,2,0.0999937347474453
Y_XCom_SLNT,3,0.366848044278947
Y_XCom_S2FL,4,0.480486160157631
Y_XCom_3SL,5,75
Y_XCom_SLactose,6,0.416611216487637
Y_XCom_SGalactose,7,59.310105925725
Y_XCom_SGlucose,8,0.182634953083225
Y_XCom_SNeu5Ac,9,74.9949846775926
Y_XCom_SFucose,10,1.69825932889523
k1,11,0.0726503670959983
k2,12,0.133657499095495
k3,13,0.483661415336868
k4,14,0.0524279601500662
K_SLNT,15,11.3058923427778
K_S2FL,16,74.6833173797492
K_S3SL,17,75
K_SLactose,18,6.31767290574363
K_SGalactose,19,74.4908487322202
K_SGlucose,20,75
K_SNeu5Ac,21,74.9934758647552
K_SFucose,22,3.97854345552922
