exp,parameter,value
binf,mu_max,0.982066963441423
binf,mu_max,0.980320765255459
binf,mu_max,0.912522922133752
binf,mu_max,0.983919492337522
binf,mu_max,0.983638433923985
binf,mu_max,0.981663127129784
binf,mu_max,0.954183904355483
binf,mu_max,0.983867557994835
binf,mu_max,0.983507342917239
binf,mu_max,0.984797284005264
binf,mu_max,0.983249307334111
binf,mu_max,0.983899918002678
binf,mu_max,0.983479271098312
binf,mu_max,0.982309093119918
binf,mu_max,0.9456457238677
binf,mu_max,0.984023496592124
binf,mu_max,0.983723802781608
binf,mu_max,0.928869738588848
binf,mu_max,0.983702254386543
binf,mu_max,0.983434719299008
binf,kd,0.0489584244063293
binf,kd,0.0487851470316557
binf,kd,0.0482833444638194
binf,kd,0.049001439012318
binf,kd,0.0490407838385563
binf,kd,0.0489476703518539
binf,kd,0.0484152105570441
binf,kd,0.0490033719960467
binf,kd,0.0489755868370122
binf,kd,0.0490330422220392
binf,kd,0.0489360483893094
binf,kd,0.0490342560721474
binf,kd,0.0489196731039412
binf,kd,0.0488979077092751
binf,kd,0.0490232461563752
binf,kd,0.0489776205122065
binf,kd,0.0489920887082304
binf,kd,0.047862360464526
binf,kd,0.0489334302496234
binf,kd,0.0489473566101923
binf,Y_XCom_SLNT,0.243371162105096
binf,Y_XCom_SLNT,0.241217408768616
binf,Y_XCom_SLNT,0.58976736385538
binf,Y_XCom_SLNT,0.241820771769641
binf,Y_XCom_SLNT,0.244343312258129
binf,Y_XCom_SLNT,0.242402260304489
binf,Y_XCom_SLNT,0.21284416403465
binf,Y_XCom_SLNT,0.238819835336147
binf,Y_XCom_SLNT,0.243014214183175
binf,Y_XCom_SLNT,0.240630109867617
binf,Y_XCom_SLNT,0.244250566934329
binf,Y_XCom_SLNT,0.238979159316149
binf,Y_XCom_SLNT,0.242289259181234
binf,Y_XCom_SLNT,0.244755925304104
binf,Y_XCom_SLNT,0.298362854145914
binf,Y_XCom_SLNT,0.24015213463641
binf,Y_XCom_SLNT,0.242049715887889
binf,Y_XCom_SLNT,0.215110430160306
binf,Y_XCom_SLNT,0.240739885951882
binf,Y_XCom_SLNT,0.240846841606583
binf,Y_XCom_SGalactose,39.8554597043184
binf,Y_XCom_SGalactose,3.6059088296591
binf,Y_XCom_SGalactose,2.19693461569673
binf,Y_XCom_SGalactose,24.3622899690851
binf,Y_XCom_SGalactose,75
binf,Y_XCom_SGalactose,2.89172784937703
binf,Y_XCom_SGalactose,74.9276787923313
binf,Y_XCom_SGalactose,10.7760918426523
binf,Y_XCom_SGalactose,16.9010024775345
binf,Y_XCom_SGalactose,9.59502379305126
