parameter,index,value
mu_max,1,0.984023496592124
kd,2,0.0489776205122065
Y_XCom_SLNT,3,0.24015213463641
Y_XCom_S2FL,4,0.868050843868992
Y_XCom_3SL,5,75
Y_XCom_SLactose,6,0.470919324774156
Y_XCom_SGalactose,7,16.4634784114102
Y_XCom_SGlucose,8,60.895743126842
Y_XCom_SNeu5Ac,9,75
Y_XCom_SFucose,10,0.666785933930276
k1,11,0.185902977193898
k2,12,0.265271272719592
k3,13,0.832066421679554
k4,14,0.240876266334816
K_SLNT,15,1e-05
K_S2FL,16,0.121765737331316
K_S3SL,17,74.9963295986137
K_SLactose,18,8.61254132105673
K_SGalactose,19,0.00853030967259479
K_SGlucose,20,26.1372521239273
K_SNeu5Ac,21,75
K_SFucose,22,2.33686049866924
