parameter,index,value
mu_max,1,1.22113272534035
kd,2,0.0580009848275812
Y_XCom_SLNT,3,0.1735373331424
Y_XCom_S2FL,4,1.92438619456013
Y_XCom_3SL,5,75
Y_XCom_SLactose,6,0.300614367527175
Y_XCom_SGalactose,7,5.474138729148
Y_XCom_SGlucose,8,26.6133528968496
Y_XCom_SNeu5Ac,9,75
Y_XCom_SFucose,10,0.519108336814534
k1,11,0.234595649583172
k2,12,0.369189765165647
k3,13,0.815808808637986
k4,14,0.268458393891986
K_SLNT,15,0.249278299886283
K_S2FL,16,75
K_S3SL,17,75
K_SLactose,18,4.57601949765967
K_SGalactose,19,34.8537732514334
K_SGlucose,20,75
K_SNeu5Ac,21,52.0695643252731
K_SFucose,22,1.56919441147185
