exp,parameter,value
ecol,mu_max,1.18839428926317
ecol,mu_max,1.21608206684703
ecol,mu_max,0.941998353123805
ecol,mu_max,0.874677631725891
ecol,mu_max,0.949786332007216
ecol,mu_max,0.938596639963057
ecol,mu_max,0.939106965588538
ecol,mu_max,0.941998353123805
ecol,mu_max,0.936991079719527
ecol,mu_max,0.934387610569839
ecol,mu_max,0.941998353123805
ecol,mu_max,0.947729763241752
ecol,mu_max,0.937965056527607
ecol,mu_max,0.859642652668164
ecol,mu_max,1.2120319144945
ecol,mu_max,0.93930687808297
ecol,mu_max,0.944407042571066
ecol,mu_max,1.11508351063705
ecol,mu_max,0.937376802647953
ecol,mu_max,0.939675266624865
ecol,kd,0.1
ecol,kd,0.1
ecol,kd,0.0999908468318118
ecol,kd,0.0953520122326941
ecol,kd,0.0999981931372086
ecol,kd,0.0999952489598471
ecol,kd,0.0999993895791006
ecol,kd,0.0999908468318118
ecol,kd,0.0999028820600237
ecol,kd,0.0997189386210012
ecol,kd,0.0999908468318118
ecol,kd,0.0998623441891579
ecol,kd,0.0999225449464187
ecol,kd,0.0996096129415711
ecol,kd,0.1
ecol,kd,0.0999968034867972
ecol,kd,0.0998993072199565
ecol,kd,0.1
ecol,kd,0.0999996290179086
ecol,kd,0.1
ecol,Y_XCom_SGalactose,33.8858887133081
ecol,Y_XCom_SGalactose,48.2573266179158
ecol,Y_XCom_SGalactose,43.6324736882625
ecol,Y_XCom_SGalactose,5.93943379896269
ecol,Y_XCom_SGalactose,58.6887302450259
ecol,Y_XCom_SGalactose,28.3260859836045
ecol,Y_XCom_SGalactose,3.80454867489508
ecol,Y_XCom_SGalactose,43.6324736882625
ecol,Y_XCom_SGalactose,67.8380937080131
ecol,Y_XCom_SGalactose,0.0520490814297678
ecol,Y_XCom_SGalactose,43.6324736882625
ecol,Y_XCom_SGalactose,38.8606279283212
ecol,Y_XCom_SGalactose,10.6943847120457
ecol,Y_XCom_SGalactose,59.4450747098081
ecol,Y_XCom_SGalactose,73.3930368190328
ecol,Y_XCom_SGalactose,72.5055515081625
ecol,Y_XCom_SGalactose,1.19167633245785
ecol,Y_XCom_SGalactose,74.1967714899539
ecol,Y_XCom_SGalactose,1e-05
ecol,Y_XCom_SGalactose,33.2644812039377
