parameter,index,value
mu_max,1,0.934387610569839
kd,2,0.0997189386210012
Y_XCom_SLNT,3,0.543444876784026
Y_XCom_S2FL,4,0.62518399919913
Y_XCom_3SL,5,74.9917655239029
Y_XCom_SLactose,6,0.501853439412671
Y_XCom_SGalactose,7,0.0520490814297678
Y_XCom_SGlucose,8,75
Y_XCom_SNeu5Ac,9,74.9999999885524
Y_XCom_SFucose,10,3.74118047562075
k1,11,0.0164879902470627
k2,12,0.0201985563326992
k3,13,0.303473237885408
k4,14,0.0200683952159679
K_SLNT,15,1.00343428854953e-05
K_S2FL,16,38.7769342162286
K_S3SL,17,75
K_SLactose,18,1.23403724210233
K_SGalactose,19,74.7366253344221
K_SGlucose,20,74.9999999885524
K_SNeu5Ac,21,8.8883651242438
K_SFucose,22,0.10669444266158
