exp,parameter,value
lsym,mu_max,1.97477527400034
lsym,mu_max,1.95774300077165
lsym,mu_max,1.95774300077165
lsym,mu_max,1.95774300077165
lsym,mu_max,1.99989580651284
lsym,mu_max,1.99987756788611
lsym,mu_max,1.99987756788611
lsym,mu_max,1.99993758405692
lsym,mu_max,2
lsym,mu_max,1.99999994212379
lsym,mu_max,2
lsym,mu_max,1.9999999997319
lsym,mu_max,1.97091647023037
lsym,mu_max,2
lsym,mu_max,2
lsym,mu_max,1.99999999980871
lsym,mu_max,2
lsym,mu_max,1.99994499211834
lsym,mu_max,2
lsym,mu_max,1.97477527400034
lsym,kd,0.0336101684484586
lsym,kd,0.0321936161992251
lsym,kd,0.0321936161992251
lsym,kd,0.0321936161992251
lsym,kd,0.0323139244933052
lsym,kd,0.0321226070619742
lsym,kd,0.0321226070619742
lsym,kd,0.0322073238084734
lsym,kd,0.0323587843702769
lsym,kd,0.0323208794537511
lsym,kd,0.032050414843079
lsym,kd,0.0322754883281069
lsym,kd,0.0333757195181728
lsym,kd,0.0317254849154044
lsym,kd,0.0323418817571332
lsym,kd,0.0280533344508468
lsym,kd,0.0317254849154044
lsym,kd,0.0320260595153177
lsym,kd,0.0323587843702769
lsym,kd,0.0336101684484586
lsym,Y_XCom_SLNT,0.187133907967385
lsym,Y_XCom_SLNT,0.198593873033984
lsym,Y_XCom_SLNT,0.198593873033984
lsym,Y_XCom_SLNT,0.198593873033984
lsym,Y_XCom_SLNT,0.192458592426679
lsym,Y_XCom_SLNT,0.196073134923292
lsym,Y_XCom_SLNT,0.196073134923292
lsym,Y_XCom_SLNT,0.218048923687272
lsym,Y_XCom_SLNT,0.189090411654561
lsym,Y_XCom_SLNT,0.185587097082911
lsym,Y_XCom_SLNT,0.190363290106443
lsym,Y_XCom_SLNT,0.194917682014929
lsym,Y_XCom_SLNT,0.197968239251871
lsym,Y_XCom_SLNT,0.28611645620538
lsym,Y_XCom_SLNT,0.19309921250117
lsym,Y_XCom_SLNT,0.000122429934194128
lsym,Y_XCom_SLNT,0.28611645620538
lsym,Y_XCom_SLNT,0.196913854094071
lsym,Y_XCom_SLNT,0.189090411654561
lsym,Y_XCom_SLNT,0.187133907967385
lsym,Y_XCom_3SL,74.9999988261852
lsym,Y_XCom_3SL,74.9999999842445
lsym,Y_XCom_3SL,74.9999999842445
lsym,Y_XCom_3SL,74.9999999842445
lsym,Y_XCom_3SL,74.9999999860302
lsym,Y_XCom_3SL,74.9984284703091
lsym,Y_XCom_3SL,74.9984284703091
lsym,Y_XCom_3SL,75
lsym,Y_XCom_3SL,75
lsym,Y_XCom_3SL,74.9988314338067
lsym,Y_XCom_3SL,74.9999999874078
lsym,Y_XCom_3SL,74.9999972802292
lsym,Y_XCom_3SL,75
lsym,Y_XCom_3SL,75
lsym,Y_XCom_3SL,74.9999978598501
lsym,Y_XCom_3SL,75
lsym,Y_XCom_3SL,75
lsym,Y_XCom_3SL,74.9985433973003
lsym,Y_XCom_3SL,75
lsym,Y_XCom_3SL,74.9999988261852
lsym,k1,0.191166628521688
lsym,k1,0.207118526662006
lsym,k1,0.207118526662006
lsym,k1,0.207118526662006
lsym,k1,0.215910580986598
lsym,k1,0.218440869580977
lsym,k1,0.218440869580977
lsym,k1,0.237787251606353
lsym,k1,0.211864314645726
lsym,k1,0.206587627603162
lsym,k1,0.213225831844064
lsym,k1,0.216506304282104
lsym,k1,0.203124900034991
lsym,k1,0.269305496535127
lsym,k1,0.214836915972045
lsym,k1,74.9982824297739
lsym,k1,0.269305496535127
lsym,k1,0.219945189008722
lsym,k1,0.211864314645726
lsym,k1,0.191166628521688
lsym,k2,0.199669328380795
lsym,k2,0.19822378899323
lsym,k2,0.19822378899323
lsym,k2,0.19822378899323
lsym,k2,0.203604483705404
lsym,k2,0.203049652361638
lsym,k2,0.203049652361638
lsym,k2,0.202544201211637
lsym,k2,0.203437533823406
lsym,k2,0.204138039399975
lsym,k2,0.203446008556987
lsym,k2,0.20305800392604
lsym,k2,0.199191116328861
lsym,k2,0.196012265749506
lsym,k2,0.202495558764371
lsym,k2,0.222314587444867
lsym,k2,0.196012265749506
lsym,k2,0.202908194734978
lsym,k2,0.203437533823406
lsym,k2,0.199669328380795
lsym,k3,55.3538042212844
lsym,k3,74.9999997479115
lsym,k3,74.9999997479115
lsym,k3,74.9999997479115
lsym,k3,1.18795238097253
lsym,k3,1.1904065867019
lsym,k3,1.1904065867019
lsym,k3,1.16716715178556
lsym,k3,1.19545065540919
lsym,k3,1.20639581183554
lsym,k3,1.20219936302925
lsym,k3,1.19864393585481
lsym,k3,74.7892836613982
lsym,k3,1.16741498726596
lsym,k3,1.20741412729547
lsym,k3,1.41284044791106
lsym,k3,1.16741498726596
lsym,k3,1.18882299946189
lsym,k3,1.19545065540919
lsym,k3,55.3538042212844
lsym,k4,0.215460370985082
lsym,k4,0.226457221151955
lsym,k4,0.226457221151955
lsym,k4,0.226457221151955
lsym,k4,0.236878777071535
lsym,k4,0.238628700683879
lsym,k4,0.238628700683879
lsym,k4,0.248607703830635
lsym,k4,0.23480167753508
lsym,k4,0.232829719427501
lsym,k4,0.237109244697781
lsym,k4,0.239114671830629
lsym,k4,0.222221931022236
lsym,k4,0.267865113568239
lsym,k4,0.236337673020435
lsym,k4,0.196725050249865
lsym,k4,0.267865113568239
lsym,k4,0.240257679624638
lsym,k4,0.23480167753508
lsym,k4,0.215460370985082
lsym,Y_XCom_S2FL,0.313039621061458
lsym,Y_XCom_S2FL,0.281874041566616
lsym,Y_XCom_S2FL,0.295622918521038
lsym,Y_XCom_S2FL,0.308621865200164
lsym,Y_XCom_S2FL,0.349043495104106
lsym,Y_XCom_S2FL,0.321918296165665
lsym,Y_XCom_S2FL,0.308621865200164
lsym,Y_XCom_S2FL,0.315115720650511
lsym,Y_XCom_S2FL,0.28915806846647
lsym,Y_XCom_S2FL,0.295622918521038
lsym,Y_XCom_SLactose,0.83222226259468
lsym,Y_XCom_SLactose,0.718067842595307
lsym,Y_XCom_SLactose,0.817974923067428
lsym,Y_XCom_SLactose,0.908623291352161
lsym,Y_XCom_SLactose,1.09236752227365
lsym,Y_XCom_SLactose,0.903767530273938
lsym,Y_XCom_SLactose,0.908623291352161
lsym,Y_XCom_SLactose,0.810935508421965
lsym,Y_XCom_SLactose,0.692039785284569
lsym,Y_XCom_SLactose,0.817974923067428
