parameter,index,value
mu_max,1,2
kd,2,0.0317254849154044
Y_XCom_SLNT,3,0.28611645620538
Y_XCom_S2FL,4,0.28915806846647
Y_XCom_3SL,5,75
Y_XCom_SLactose,6,0.692039785284569
Y_XCom_SGalactose,7,66.7498452270439
Y_XCom_SGlucose,8,53.2016679397434
Y_XCom_SNeu5Ac,9,75
Y_XCom_SFucose,10,4.20952207625084
k1,11,0.269305496535127
k2,12,0.196012265749506
k3,13,1.16741498726596
k4,14,0.267865113568239
K_SLNT,15,33.9082842595898
K_S2FL,16,67.0114570506596
K_S3SL,17,75
K_SLactose,18,1.37376619608266
K_SGalactose,19,8.17748312487311
K_SGlucose,20,2.58928274425622
K_SNeu5Ac,21,75
K_SFucose,22,36.7175035833827
