exp,parameter,value
paci,mu_max,1.81408780005226
paci,mu_max,2
paci,mu_max,2
paci,mu_max,1.99998311086487
paci,mu_max,2
paci,mu_max,1.99999994386924
paci,mu_max,1.99999420166016
paci,mu_max,1.92179738143489
paci,mu_max,2
paci,mu_max,2
paci,mu_max,2
paci,mu_max,1.53842160018958
paci,mu_max,1.53842160018958
paci,mu_max,2
paci,mu_max,1.99999994386924
paci,mu_max,1.99999920073774
paci,mu_max,1.99999420166016
paci,mu_max,1.99999420307577
paci,mu_max,2
paci,mu_max,2
paci,kd,0.0753568909051995
paci,kd,0.1
paci,kd,0.0999982466172588
paci,kd,0.0999991778480133
paci,kd,0.1
paci,kd,0.0999992663660477
paci,kd,0.0999999621548355
paci,kd,0.092884041334905
paci,kd,0.1
paci,kd,0.1
paci,kd,0.1
paci,kd,0.0527189578415795
paci,kd,0.0527189578415795
paci,kd,0.0999995423566029
paci,kd,0.0999992663660477
paci,kd,0.0999999999813754
paci,kd,0.0999999621548355
paci,kd,0.1
paci,kd,0.0999981865850984
paci,kd,0.1
paci,Y_XCom_SGalactose,42.550030666387
paci,Y_XCom_SGalactose,37.390103271937
paci,Y_XCom_SGalactose,74.987446875606
paci,Y_XCom_SGalactose,1.13021021439667e-05
paci,Y_XCom_SGalactose,20.9316739958319
paci,Y_XCom_SGalactose,74.9623118304507
paci,Y_XCom_SGalactose,2.27160983573882
paci,Y_XCom_SGalactose,75
paci,Y_XCom_SGalactose,30.41563593855
paci,Y_XCom_SGalactose,74.9771476683553
paci,Y_XCom_SGalactose,20.9316739958319
paci,Y_XCom_SGalactose,66.9893367719306
paci,Y_XCom_SGalactose,66.9893367719306
paci,Y_XCom_SGalactose,1e-05
paci,Y_XCom_SGalactose,74.9623118304507
paci,Y_XCom_SGalactose,32.8647677591569
paci,Y_XCom_SGalactose,2.27160983573882
paci,Y_XCom_SGalactose,75
paci,Y_XCom_SGalactose,16.1481970757675
paci,Y_XCom_SGalactose,20.9316739958319
paci,Y_XCom_SGlucose,52.7543526950088
paci,Y_XCom_SGlucose,0.753543984333885
paci,Y_XCom_SGlucose,70.966126481291
paci,Y_XCom_SGlucose,43.5424131844
paci,Y_XCom_SGlucose,50.1834719434597
paci,Y_XCom_SGlucose,11.5525971251205
paci,Y_XCom_SGlucose,65.3944293333901
paci,Y_XCom_SGlucose,43.9652415345773
paci,Y_XCom_SGlucose,1.83906676372535
paci,Y_XCom_SGlucose,75
paci,Y_XCom_SGlucose,50.1834719434597
paci,Y_XCom_SGlucose,70.2466056441628
paci,Y_XCom_SGlucose,70.2466056441628
paci,Y_XCom_SGlucose,74.2124759378337
