parameter,index,value
mu_max,1,1.81408780005226
kd,2,0.0753568909051995
Y_XCom_SLNT,3,1.16402448004875
Y_XCom_S2FL,4,2.91116605876192
Y_XCom_3SL,5,75
Y_XCom_SLactose,6,0.32033092277727
Y_XCom_SGalactose,7,42.550030666387
Y_XCom_SGlucose,8,52.7543526950088
Y_XCom_SNeu5Ac,9,75
Y_XCom_SFucose,10,74.9737844644075
k1,11,0.262515793358725
k2,12,0.232873217011187
k3,13,0.560057769838653
k4,14,0.105514760687158
K_SLNT,15,75
K_S2FL,16,36.5144681787067
K_S3SL,17,75
K_SLactose,18,2.24386608786335
K_SGalactose,19,28.8190655255759
K_SGlucose,20,66.5859187777385
K_SNeu5Ac,21,46.3621118786321
K_SFucose,22,59.3379226033373
