exp,parameter,value
all,mu_max,1.0087934314757
all,kd,0.1
all,Y_XCom_SLNT,0.398332944180578
all,Y_XCom_S2FL,0.601105561626173
all,Y_XCom_3SL,74.9999982116426
all,Y_XCom_SLactose,0.525251184707877
all,Y_XCom_SGalactose,75
all,Y_XCom_SGlucose,45.168491726731
all,Y_XCom_SNeu5Ac,75
all,Y_XCom_SFucose,74.9999999860285
all,k1,1.00139715419549e-05
all,k2,0.038218132997056
all,k3,0.257392513908137
all,k4,1e-05
all,K_SLNT,73.3257169960289
all,K_S2FL,1.02235446712777e-05
all,K_S3SL,58.7747678727857
all,K_SLactose,1.06144332823238
all,K_SGalactose,20.6456937789775
all,K_SGlucose,3.87399164620114
all,K_SNeu5Ac,74.9999999860285
all,K_SFucose,1.0645210099999
bbif,mu_max,0.825277990161462
bbif,kd,0.040685615544104
bbif,Y_XCom_SLNT,0.167872770000367
bbif,Y_XCom_S2FL,0.588247749979628
bbif,Y_XCom_3SL,0.86037139731894
bbif,Y_XCom_SLactose,1.12092432583922
bbif,Y_XCom_SGalactose,73.250885360715
bbif,Y_XCom_SGlucose,66.0457602716656
bbif,Y_XCom_SNeu5Ac,32.324746628002
bbif,Y_XCom_SFucose,0.781258707604984
bbif,k1,1e-05
bbif,k2,0.0691605995476998
bbif,k3,0.0705657819791634
bbif,k4,0.481864305388197
bbif,K_SLNT,11.6144659070009
bbif,K_S2FL,75
bbif,K_S3SL,0.0365836409129027
bbif,K_SLactose,74.9147088794802
bbif,K_SGalactose,14.0701033883698
bbif,K_SGlucose,6.95249953680168
bbif,K_SNeu5Ac,38.6679877352511
bbif,K_SFucose,0.18729693033817
bbre,mu_max,1.94963355399198
bbre,kd,0.0999937347474453
bbre,Y_XCom_SLNT,0.366848044278947
bbre,Y_XCom_S2FL,0.480486160157631
bbre,Y_XCom_3SL,75
bbre,Y_XCom_SLactose,0.416611216487637
bbre,Y_XCom_SGalactose,59.310105925725
bbre,Y_XCom_SGlucose,0.182634953083225
bbre,Y_XCom_SNeu5Ac,74.9949846775926
bbre,Y_XCom_SFucose,1.69825932889523
bbre,k1,0.0726503670959983
bbre,k2,0.133657499095495
bbre,k3,0.483661415336868
bbre,k4,0.0524279601500662
bbre,K_SLNT,11.3058923427778
bbre,K_S2FL,74.6833173797492
bbre,K_S3SL,75
bbre,K_SLactose,6.31767290574363
bbre,K_SGalactose,74.4908487322202
bbre,K_SGlucose,75
bbre,K_SNeu5Ac,74.9934758647552
bbre,K_SFucose,3.97854345552922
binf,mu_max,0.984023496592124
binf,kd,0.0489776205122065
binf,Y_XCom_SLNT,0.24015213463641
binf,Y_XCom_S2FL,0.868050843868992
binf,Y_XCom_3SL,75
binf,Y_XCom_SLactose,0.470919324774156
binf,Y_XCom_SGalactose,16.4634784114102
binf,Y_XCom_SGlucose,60.895743126842
binf,Y_XCom_SNeu5Ac,75
binf,Y_XCom_SFucose,0.666785933930276
binf,k1,0.185902977193898
binf,k2,0.265271272719592
binf,k3,0.832066421679554
binf,k4,0.240876266334816
binf,K_SLNT,1e-05
binf,K_S2FL,0.121765737331316
binf,K_S3SL,74.9963295986137
binf,K_SLactose,8.61254132105673
binf,K_SGalactose,0.00853030967259479
binf,K_SGlucose,26.1372521239273
binf,K_SNeu5Ac,75
binf,K_SFucose,2.33686049866924
bthe,mu_max,1.22113272534035
bthe,kd,0.0580009848275812
bthe,Y_XCom_SLNT,0.1735373331424
bthe,Y_XCom_S2FL,1.92438619456013
bthe,Y_XCom_3SL,75
bthe,Y_XCom_SLactose,0.300614367527175
bthe,Y_XCom_SGalactose,5.474138729148
bthe,Y_XCom_SGlucose,26.6133528968496
bthe,Y_XCom_SNeu5Ac,75
bthe,Y_XCom_SFucose,0.519108336814534
bthe,k1,0.234595649583172
bthe,k2,0.369189765165647
bthe,k3,0.815808808637986
bthe,k4,0.268458393891986
bthe,K_SLNT,0.249278299886283
bthe,K_S2FL,75
bthe,K_S3SL,75
bthe,K_SLactose,4.57601949765967
bthe,K_SGalactose,34.8537732514334
bthe,K_SGlucose,75
bthe,K_SNeu5Ac,52.0695643252731
bthe,K_SFucose,1.56919441147185
ecol,mu_max,0.934387610569839
ecol,kd,0.0997189386210012
ecol,Y_XCom_SLNT,0.543444876784026
ecol,Y_XCom_S2FL,0.62518399919913
ecol,Y_XCom_3SL,74.9917655239029
ecol,Y_XCom_SLactose,0.501853439412671
ecol,Y_XCom_SGalactose,0.0520490814297678
ecol,Y_XCom_SGlucose,75
ecol,Y_XCom_SNeu5Ac,74.9999999885524
ecol,Y_XCom_SFucose,3.74118047562075
ecol,k1,0.0164879902470627
ecol,k2,0.0201985563326992
ecol,k3,0.303473237885408
ecol,k4,0.0200683952159679
ecol,K_SLNT,1.00343428854953e-05
ecol,K_S2FL,38.7769342162286
ecol,K_S3SL,75
ecol,K_SLactose,1.23403724210233
ecol,K_SGalactose,74.7366253344221
ecol,K_SGlucose,74.9999999885524
ecol,K_SNeu5Ac,8.8883651242438
ecol,K_SFucose,0.10669444266158
lsym,mu_max,2
lsym,kd,0.0317254849154044
lsym,Y_XCom_SLNT,0.28611645620538
lsym,Y_XCom_S2FL,0.28915806846647
lsym,Y_XCom_3SL,75
lsym,Y_XCom_SLactose,0.692039785284569
lsym,Y_XCom_SGalactose,66.7498452270439
lsym,Y_XCom_SGlucose,53.2016679397434
lsym,Y_XCom_SNeu5Ac,75
lsym,Y_XCom_SFucose,4.20952207625084
lsym,k1,0.269305496535127
lsym,k2,0.196012265749506
lsym,k3,1.16741498726596
lsym,k4,0.267865113568239
lsym,K_SLNT,33.9082842595898
lsym,K_S2FL,67.0114570506596
lsym,K_S3SL,75
lsym,K_SLactose,1.37376619608266
lsym,K_SGalactose,8.17748312487311
lsym,K_SGlucose,2.58928274425622
lsym,K_SNeu5Ac,75
lsym,K_SFucose,36.7175035833827
paci,mu_max,1.81408780005226
paci,kd,0.0753568909051995
paci,Y_XCom_SLNT,1.16402448004875
paci,Y_XCom_S2FL,2.91116605876192
paci,Y_XCom_3SL,75
paci,Y_XCom_SLactose,0.32033092277727
paci,Y_XCom_SGalactose,42.550030666387
paci,Y_XCom_SGlucose,52.7543526950088
paci,Y_XCom_SNeu5Ac,75
paci,Y_XCom_SFucose,74.9737844644075
paci,k1,0.262515793358725
paci,k2,0.232873217011187
paci,k3,0.560057769838653
paci,k4,0.105514760687158
paci,K_SLNT,75
paci,K_S2FL,36.5144681787067
paci,K_S3SL,75
paci,K_SLactose,2.24386608786335
paci,K_SGalactose,28.8190655255759
paci,K_SGlucose,66.5859187777385
paci,K_SNeu5Ac,46.3621118786321
paci,K_SFucose,59.3379226033373
