ID	locus_tag	product	gene	all_R1	all_R2	all_R3	bbif_R1	bbif_R2	bbif_R3	bbre_R1	bbre_R2	bbre_R3	binf_R1	binf_R2	binf_R3	bthe_R1	bthe_R2	bthe_R3	lsym_R1	lsym_R2	lsym_R3	ecol_R1	ecol_R2	ecol_R3	paci_R1	paci_R2	paci_R3
fig|1254.353.peg.1	HN015_00005	Chromosomal replication initiator protein DnaA	dnaA	2	13	2	54.0	7.0	14.0	0.0	16.0	10.0	25.0	301.0	113.0	48.0	96.0	76.0	288.0	5.0	105.0	79.0	602.0	558.0			
fig|1254.353.peg.10	HN015_00040	Single-stranded DNA-binding protein	ssb	12	53	49	202.0	97.0	113.0	12.0	101.0	36.0	64.0	680.0	227.0	201.0	382.0	268.0	750.0	22.0	333.0	411.0	977.0	787.0			
fig|1254.353.peg.100	HN015_00480	hypothetical protein		0	0	5	12.0	7.0	1.0	0.0	0.0	1.0	0.0	71.0	23.0	8.0	8.0	13.0	41.0	0.0	9.0	14.0	45.0	27.0			
fig|1254.353.peg.1000	HN015_04975	Fibronectin/fibrinogen-binding protein		0	5	4	55.0	14.0	23.0	0.0	13.0	7.0	35.0	191.0	87.0	30.0	62.0	67.0	217.0	2.0	74.0	74.0	264.0	357.0			
fig|1254.353.peg.1001	HN015_04980	Transcriptional regulator%2C MarR family		0	0	0	3.0	1.0	2.0	0.0	0.0	0.0	1.0	26.0	1.0	0.0	4.0	4.0	5.0	0.0	6.0	5.0	18.0	20.0			
fig|1254.353.peg.1002	HN015_04985	DegV family protein		2	4	4	38.0	23.0	21.0	0.0	19.0	4.0	31.0	248.0	107.0	49.0	111.0	115.0	112.0	6.0	46.0	99.0	228.0	300.0			
fig|1254.353.peg.1003	HN015_04990	Fluoride ion transporter CrcB	crcB	0	0	1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0			
fig|1254.353.peg.1004	HN015_04995	Fluoride ion transporter CrcB		0	2	0	8.0	0.0	0.0	0.0	2.0	1.0	0.0	6.0	2.0	0.0	13.0	5.0	5.0	0.0	3.0	5.0	15.0	2.0			
fig|1254.353.peg.1005	HN015_05000	hypothetical protein		0	3	15	27.0	13.0	13.0	0.0	21.0	6.0	22.0	120.0	90.0	81.0	149.0	137.0	91.0	2.0	47.0	98.0	226.0	366.0			
fig|1254.353.peg.1006	HN015_05005	Transcriptional regulator%2C LacI family		0	3	1	5.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	12.0	0.0	5.0	7.0	5.0	0.0	7.0	1.0	11.0	41.0			
fig|1254.353.peg.1007	HN015_05010	hypothetical protein		0	0	0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	22.0	1.0	2.0	3.0	0.0	4.0	0.0	1.0	8.0	3.0	0.0			
fig|1254.353.peg.1008	HN015_05015	Arginine/ornithine antiporter ArcD		1	18	10	34.0	20.0	16.0	3.0	10.0	7.0	108.0	1505.0	242.0	71.0	162.0	157.0	97.0	4.0	59.0	129.0	938.0	1163.0			
