patric_id	locus_tag	product	gene
1254.353.peg.1	HN015_00005	Chromosomal replication initiator protein DnaA	dnaA
1254.353.peg.10	HN015_00040	Single-stranded DNA-binding protein	ssb
1254.353.peg.100	HN015_00480	hypothetical protein	
1254.353.peg.1000	HN015_04975	Fibronectin/fibrinogen-binding protein	
1254.353.peg.1001	HN015_04980	Transcriptional regulator%2C MarR family	
1254.353.peg.1002	HN015_04985	DegV family protein	
1254.353.peg.1003	HN015_04990	Fluoride ion transporter CrcB	crcB
1254.353.peg.1004	HN015_04995	Fluoride ion transporter CrcB	
1254.353.peg.1005	HN015_05000	hypothetical protein	
1254.353.peg.1006	HN015_05005	Transcriptional regulator%2C LacI family	
1254.353.peg.1007	HN015_05010	hypothetical protein	
1254.353.peg.1008	HN015_05015	Arginine/ornithine antiporter ArcD	
1254.353.peg.1009	HN015_05020	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr%2C subfamily F2	
1254.353.peg.1010	HN015_05025	Mg(2+) transport ATPase%2C P-type (EC 3.6.3.2)	mgtA
1254.353.peg.1011	HN015_05030	Multidrug resistance transporter%2C Bcr/CflA family	
1254.353.peg.1012	HN015_05035	NAD(P)H dehydrogenase%2C quinone family	
1254.353.peg.1013	HN015_05040	6%2C7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	
1254.353.peg.1014	HN015_05045	3%2C4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)	ribA
1254.353.peg.1015	HN015_05050	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	
1254.353.peg.1016	HN015_05055	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	ribD
1254.353.peg.1018	HN015_05060	Dihydropteroate synthase (EC 2.5.1.15)	folP
1254.353.peg.1019	HN015_05065	Nucleoside 5-triphosphatase RdgB (dHAPTP%2C dITP%2C XTP-specific)	
1254.353.peg.1020	HN015_05070	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)	
1254.353.peg.1021	HN015_05075	GTP cyclohydrolase I (EC 3.5.4.16) type 1	folE
1254.353.peg.1022	HN015_05080	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	folK
1254.353.peg.1023	HN015_05085	Dihydroneopterin aldolase (EC 4.1.2.25)	folB
1254.353.peg.1024	HN015_05090	Inner membrane transporter YjeM	yjeM
1254.353.peg.1025	HN015_05095	Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)	msrA
1254.353.peg.1026	HN015_05100	Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12)	msrB
1254.353.peg.1027	HN015_05105	Glycerate kinase (EC 2.7.1.31)	
1254.353.peg.1028	HN015_05110	D-glycerate transporter (predicted)	
1254.353.peg.1029	HN015_05115	Excinuclease ABC subunit A paralog of unknown function	
1254.353.peg.103	HN015_00485	hypothetical protein	
1254.353.peg.1030	HN015_05120	Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1)	
1254.353.peg.1031	HN015_05125	Transcriptional regulator%2C LysR family	
1254.353.peg.1032	HN015_05130	DNA topoisomerase IV subunit A (EC 5.99.1.3)	parC
1254.353.peg.1033	HN015_05135	DNA topoisomerase IV subunit B (EC 5.99.1.3)	parE
1254.353.peg.1034	HN015_05140	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3)	plsY
1254.353.peg.1035	HN015_05145	LacX protein%2C plasmid	
1254.353.peg.1036	HN015_05150	ATP-dependent hsl protease ATP-binding subunit HslU	hslU
1254.353.peg.1037	HN015_05155	ATP-dependent protease subunit HslV (EC 3.4.25.2)	hslV
1254.353.peg.1038	HN015_05160	Site-specific tyrosine recombinase XerC	xerC
1254.353.peg.1039	HN015_05165	DNA topoisomerase I (EC 5.99.1.2)	topA
1254.353.peg.104	HN015_00490	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily	
1254.353.peg.1040	HN015_05170	Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	dprA
1254.353.peg.1041	HN015_05175	Ribonuclease HII (EC 3.1.26.4)	
1254.353.peg.1042	HN015_05180	LSU ribosomal maturation GTPase RbgA (B. subtilis YlqF)	ylqF
1254.353.peg.1043	HN015_05185	hypothetical protein	
1254.353.peg.1044	HN015_05190	hypothetical protein	
1254.353.peg.1045	HN015_05195	hypothetical protein	
1254.353.peg.1046	HN015_05200	beta-galactosidase (EC 3.2.1.23)	
1254.353.peg.1047	HN015_05205	Lactose and galactose permease%2C GPH translocator family	
1254.353.peg.1049	HN015_05210	beta-galactosidase (EC 3.2.1.23)	
1254.353.peg.105	HN015_00495	hypothetical protein	
1254.353.peg.1050	HN015_05215	Sucrose permease%2C major facilitator superfamily	
1254.353.peg.1051	HN015_05220	Arabinose operon regulatory protein	
1254.353.peg.1052	HN015_05225	Uncharacterized protein YphG%2C TPR-domain containing	
1254.353.peg.1053	HN015_05230	Aldose 1-epimerase (EC 5.1.3.3)	
1254.353.peg.1054	HN015_05235	PTS system%2C N-acetylglucosamine-specific IIC component / PTS system%2C N-acetylglucosamine-specific IIB component (EC 2.7.1.193)	
1254.353.peg.1055	HN015_05240	NADH peroxidase Npx (EC 1.11.1.1)	
1254.353.peg.1056	HN015_05245	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)	
1254.353.peg.1057	HN015_05250	hypothetical protein	
1254.353.peg.1058	HN015_05255	Lantibiotic ABC transporter	
1254.353.peg.1059	HN015_05260	hypothetical protein	
1254.353.peg.106	HN015_00500	hypothetical protein	
1254.353.peg.1060	HN015_05265	Lantibiotic transport ATP-binding protein srtF	
1254.353.peg.1061	HN015_05270	ClpE-like protein	
1254.353.peg.1062	HN015_05275	hypothetical protein	
1254.353.peg.1063	HN015_05280	hypothetical protein	
1254.353.peg.1064	HN015_05285	hypothetical protein	
1254.353.peg.1065	HN015_05290	hypothetical protein	
1254.353.peg.1066	HN015_05295	hypothetical protein	
1254.353.peg.1067	HN015_05300	cysteine hydrolase	
1254.353.peg.1068	HN015_05305	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	purD
1254.353.peg.1069	HN015_05310	IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	purH
1254.353.peg.107	HN015_00505	hypothetical protein	
1254.353.peg.1070	HN015_05315	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	purN
1254.353.peg.1071	HN015_05320	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	
1254.353.peg.1072	HN015_05325	Amidophosphoribosyltransferase (EC 2.4.2.14)	
1254.353.peg.1073	HN015_05330	Phosphoribosylformylglycinamidine synthase%2C synthetase subunit (EC 6.3.5.3)	purL
1254.353.peg.1074	HN015_05335	Phosphoribosylformylglycinamidine synthase%2C glutamine amidotransferase subunit (EC 6.3.5.3)	purQ
1254.353.peg.1075	HN015_05340	Phosphoribosylformylglycinamidine synthase%2C PurS subunit (EC 6.3.5.3)	purS
1254.353.peg.1076	HN015_05345	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	
1254.353.peg.1077	HN015_05350	N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18)	purK
1254.353.peg.1078	HN015_05355	N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)	purE
1254.353.peg.1079	HN015_05360	hypothetical protein	
1254.353.peg.108	HN015_00510	hypothetical protein	
1254.353.peg.1080	HN015_05365	hypothetical protein	
1254.353.peg.1081	HN015_05370	hypothetical protein	
1254.353.peg.1082	HN015_05375	Lantibiotic ABC transporter permease	
1254.353.peg.1083	HN015_05380	Efflux ABC transporter%2C ATP-binding protein	
1254.353.peg.1084	HN015_05385	Transcriptional regulator	
1254.353.peg.1085	HN015_05390	hypothetical protein	
1254.353.peg.1086	HN015_05395	Response regulator of the competence regulon ComE	
1254.353.peg.1087	HN015_05400	hypothetical protein	
1254.353.peg.1088	HN015_05405	Efflux ABC transporter%2C permease/ATP-binding protein	
1254.353.peg.1089	HN015_05410	Efflux ABC transporter%2C ATP-binding protein	
1254.353.peg.109	HN015_00515	PTS system%2C galactose-specific IIC component	
1254.353.peg.1090	HN015_05415	hypothetical protein	
1254.353.peg.1091	HN015_05420	hypothetical protein	
1254.353.peg.1092	HN015_05425	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	thiE
1254.353.peg.1093	HN015_05430	hypothetical protein	thiS
1254.353.peg.1094	HN015_05435	Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73)	thiF
1254.353.peg.1095	HN015_05440	Thiazole synthase (EC 2.8.1.10)	
1254.353.peg.1096	HN015_05445	Allantoate amidohydrolase (EC 3.5.3.9)	
1254.353.peg.1097	HN015_05450	hypothetical protein	
1254.353.peg.1098	HN015_05455	Nucleoside diphosphate kinase (EC 2.7.4.6)	ndk
1254.353.peg.1099	HN015_05460	hypothetical protein	
1254.353.peg.11	HN015_00045	SSU ribosomal protein S18p @ SSU ribosomal protein S18p%2C zinc-independent	
1254.353.peg.110	HN015_00520	PTS system%2C galactose-specific IIB component (EC 2.7.1.204)	
1254.353.peg.1100	HN015_05465	hypothetical protein	
1254.353.peg.1101	HN015_05470	hypothetical protein	
1254.353.peg.1102	HN015_05475	hypothetical protein	
1254.353.peg.1103	HN015_05480	hypothetical protein	
1254.353.peg.1104	HN015_05485	cell surface protein precursor	
1254.353.peg.1105	HN015_05490	Cell surface protein	
1254.353.peg.1106	HN015_05495	hypothetical protein	
1254.353.peg.1107	HN015_05500	hypothetical protein	
1254.353.peg.1109	HN015_05505	6-phospho-beta-glucosidase (EC 3.2.1.86)	
1254.353.peg.111	HN015_00525	PTS system%2C galactose-specific IIA component (EC 2.7.1.204)	
1254.353.peg.1110	HN015_05510	PTS system%2C beta-glucoside-specific IIB component / PTS system%2C beta-glucoside-specific IIC component / PTS system%2C beta-glucoside-specific IIA component	
1254.353.peg.1111	HN015_05515	Beta-glucoside bgl operon antiterminator%2C BglG family	
1254.353.peg.1112	HN015_05520	hypothetical protein	
1254.353.peg.1113	HN015_05525	hypothetical protein	
1254.353.peg.1114	HN015_05530	Amino acid transporter	
1254.353.peg.1115	HN015_05535	FIG138056: a glutathione-dependent thiol reductase	
1254.353.peg.1116	HN015_05540	Periplasmic protease	
1254.353.peg.1117	HN015_05545	UPF0346 protein YozE	
1254.353.peg.1118	HN015_05550	YfaA	
1254.353.peg.1119	HN015_05555	FIG006988: Lipase/Acylhydrolase with GDSL-like motif	
1254.353.peg.112	HN015_00530	Lactose phosphotransferase system repressor	
1254.353.peg.1120	HN015_05560	DegV family protein	
1254.353.peg.1122	HN015_05565	Dihydrofolate reductase (EC 1.5.1.3)	
1254.353.peg.1123	HN015_05570	Thymidylate synthase (EC 2.1.1.45)	
1254.353.peg.1124	HN015_05575	Bis-ABC ATPase Uup	
1254.353.peg.1125	HN015_05580	CCA tRNA nucleotidyltransferase (EC 2.7.7.72)	
1254.353.peg.1126	HN015_05585	Uncharacterized UPF0750 membrane protein YpjC	
1254.353.peg.1127	HN015_05590	Nucleoside deoxyribosyltransferase (EC 2.4.2.6)	
1254.353.peg.1128	HN015_05595	FIG00906570: hypothetical protein	
1254.353.peg.1129	HN015_05600	TPR-repeat-containing protein%2C putative component of Menaquinone-cytochrome C reductase	
1254.353.peg.113	HN015_00535	Galactose-6-phosphate isomerase%2C LacA subunit (EC 5.3.1.26)	lacA
1254.353.peg.1130	HN015_05605	DNA-binding protein HBsu	
1254.353.peg.1131	HN015_05610	GTP-binding protein EngA	der
1254.353.peg.1132	HN015_05615	SSU ribosomal protein S1p	rpsA
1254.353.peg.1133	HN015_05620	Cytidylate kinase (EC 2.7.4.25)	
1254.353.peg.1134	HN015_05625	LysM domain	
1254.353.peg.1135	HN015_05630	ATP-dependent DNA helicase RecQ	
1254.353.peg.1136	HN015_05635	FIG00743178: hypothetical protein	
1254.353.peg.1137	HN015_05640	LSU rRNA pseudouridine(2605) synthase (EC 5.4.99.22)	
1254.353.peg.1138	HN015_05645	Segregation and condensation protein B	scpB
1254.353.peg.1139	HN015_05650	Segregation and condensation protein A	
1254.353.peg.114	HN015_00540	Galactose-6-phosphate isomerase%2C LacB subunit (EC 5.3.1.26)	lacB
1254.353.peg.1140	HN015_05655	RibT protein%2C riboflavin biosynthesis acetyltransferase (GNAT) family	
1254.353.peg.1141	HN015_05660	Site-specific tyrosine recombinase XerD	xerD
1254.353.peg.1142	HN015_05665	Uncharacterized S1 RNA binding domain protein YitL	
1254.353.peg.1143	HN015_05670	UPF0756 membrane protein YtwI	
1254.353.peg.1144	HN015_05675	Pyruvate kinase (EC 2.7.1.40) / Phosphohistidine swiveling domain	pyk
1254.353.peg.1145	HN015_05680	6-phosphofructokinase (EC 2.7.1.11)	pfkA
1254.353.peg.1146	HN015_05685	DNA polymerase III alpha subunit (EC 2.7.7.7)	dnaE
1254.353.peg.1147	HN015_05690	FIG00906214: hypothetical protein	
1254.353.peg.1148	HN015_05695	Chaperone protein ClpB (ATP-dependent unfoldase)	clpB
1254.353.peg.1149	HN015_05700	GTP cyclohydrolase 1 type 2 homolog YbgI	
1254.353.peg.115	HN015_00545	Tagatose 1%2C6-bisphosphate aldolase (EC 4.1.2.40)	lacD
1254.353.peg.1150	HN015_05705	tRNA (adenine(22)-N(1))-methyltransferase (EC 2.1.1.217)	
1254.353.peg.1151	HN015_05710	RNA polymerase sigma factor RpoD	rpoD
1254.353.peg.1152	HN015_05715	DNA primase DnaG	
1254.353.peg.1153	HN015_05720	Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)	
1254.353.peg.1154	HN015_05725	Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)	glyQ
1254.353.peg.1155	HN015_05730	DNA recombination and repair protein RecO	recO
1254.353.peg.1156	HN015_05735	GTP-binding protein Era	era
1254.353.peg.1157	HN015_05740	Diacylglycerol kinase (EC 2.7.1.107)	
1254.353.peg.1158	HN015_05745	Metal-dependent hydrolase YbeY%2C involved in rRNA and/or ribosome maturation and assembly	ybeY
1254.353.peg.1159	HN015_05750	Phosphate starvation-inducible protein PhoH%2C predicted ATPase	
1254.353.peg.116	HN015_00550	hypothetical protein	
1254.353.peg.1160	HN015_05755	Transamidase GatB domain protein	
1254.353.peg.1161	HN015_05760	SSU ribosomal protein S21p	
1254.353.peg.1162	HN015_05765	Phosphoenolpyruvate synthase regulatory protein	
1254.353.peg.1163	HN015_05770	hypothetical protein	
1254.353.peg.1164	HN015_05775	Endonuclease IV (EC 3.1.21.2)	
1254.353.peg.1165	HN015_05780	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	
1254.353.peg.1166	HN015_05785	CDP-glycerol: N-acetyl-beta-D-mannosaminyl-1%2C4-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase	
1254.353.peg.1167	HN015_05790	Uncharacterized UPF0750 membrane protein SPy2155	
1254.353.peg.1168	HN015_05795	Aspartyl-tRNA synthetase (EC 6.1.1.12)	aspS
1254.353.peg.1169	HN015_05800	Histidyl-tRNA synthetase (EC 6.1.1.21)	
1254.353.peg.1170	HN015_05805	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	
1254.353.peg.1171	HN015_05810	Hydrolase%2C haloacid dehalogenase-like family	
1254.353.peg.1172	HN015_05815	D-aminoacyl-tRNA deacylase (EC 3.1.1.96)	
1254.353.peg.1173	HN015_05820	Guanosine-3'%2C5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5)%2C (p)ppGpp synthetase II	
1254.353.peg.1174	HN015_05825	hypothetical protein	
1254.353.peg.1175	HN015_05830	16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193)	
1254.353.peg.1176	HN015_05835	Ribosomal protein L11 methyltransferase	prmA
1254.353.peg.1177	HN015_05840	Uracil permease @ Uracil:proton symporter UraA	
1254.353.peg.1178	HN015_05845	hypothetical protein	
1254.353.peg.1179	HN015_05850	hypothetical protein	
1254.353.peg.118	HN015_00555	Uncharacterized MFS-type transporter	
1254.353.peg.1180	HN015_05855	Transcriptional regulator%2C Xre family	
1254.353.peg.1181	HN015_05860	Aspartate aminotransferase (EC 2.6.1.1)	
1254.353.peg.1182	HN015_05865	dTDP-glucose 4%2C6-dehydratase (EC 4.2.1.46)	rfbB
1254.353.peg.1183	HN015_05870	Flavodoxin	
1254.353.peg.1184	HN015_05875	N-acetyltransferase ElaA	
1254.353.peg.1185	HN015_05880	hypothetical protein	
1254.353.peg.1186	HN015_05885	hypothetical protein	
1254.353.peg.1187	HN015_05890	Nitroreductase	
1254.353.peg.1188	HN015_05895	General stress protein	
1254.353.peg.1189	HN015_05900	hypothetical protein	
1254.353.peg.119	HN015_00560	Tagatose utilization transcriptional regulator%2C RpiR family	
1254.353.peg.1190	HN015_05905	Putative membrane-spanning protein	
1254.353.peg.1191	HN015_05910	Carbonic anhydrase%2C alpha class (EC 4.2.1.1)	
1254.353.peg.1193	HN015_05915	Putative oxidase STM1620	
1254.353.peg.1194	HN015_05925	hypothetical protein	
1254.353.peg.1195	HN015_05930	hypothetical protein	
1254.353.peg.1197	HN015_05935	hypothetical protein	
1254.353.peg.1198	HN015_05940	hypothetical protein	
1254.353.peg.1199	HN015_05945	Methionine transporter MetT	
1254.353.peg.12	HN015_00050	Cyclic-di-AMP phosphodiesterase GdpP	
1254.353.peg.120	HN015_00565	Tagatose-6-phosphate kinase (EC 2.7.1.144)	pfkB
1254.353.peg.1200	HN015_05950	Uncharacterized deacetylase	
1254.353.peg.1201	HN015_05955	hypothetical protein	
1254.353.peg.1202	HN015_05960	hypothetical protein	
1254.353.peg.1203	HN015_05965	Catalase KatE (EC 1.11.1.6)	
1254.353.peg.1204	HN015_05970	hypothetical protein	
1254.353.peg.1205	HN015_05975	ABC transporter%2C ATP-binding protein	
1254.353.peg.1206	HN015_05980	hypothetical protein	
1254.353.peg.1207	HN015_05985	hypothetical protein	
1254.353.peg.1208	HN015_05990	Adenine phosphoribosyltransferase (EC 2.4.2.7)	
1254.353.peg.1209	HN015_05995	Single-stranded-DNA-specific exonuclease RecJ	recJ
1254.353.peg.121	HN015_00570	PTS system%2C tagatose-specific IIB component / PTS system%2C tagatose-specific IIC component / PTS system%2C tagatose-specific IIA component	
1254.353.peg.1210	HN015_06000	Short-chain dehydrogenase	
1254.353.peg.1211	HN015_06005	Ribonuclease Z (EC 3.1.26.11)	rnz
1254.353.peg.1212	HN015_06010	FIG00906385: hypothetical protein	
1254.353.peg.1213	HN015_06015	GTP-binding protein Obg	obgE
1254.353.peg.1214	HN015_06020	Excinuclease ABC subunit C	uvrC
1254.353.peg.1215	HN015_06025	Glutamine ABC transporter%2C ATP-binding protein GlnQ	
1254.353.peg.1216	HN015_06030	ABC transporter%2C substrate-binding protein (cluster 3%2C basic aa/glutamine/opines) / ABC transporter%2C permease protein (cluster 3%2C basic aa/glutamine/opines)	
1254.353.peg.1217	HN015_06035	hypothetical protein	
1254.353.peg.1218	HN015_06040	FIG00906425: hypothetical protein	
1254.353.peg.1219	HN015_06045	GTP-binding protein EngB	
1254.353.peg.122	HN015_00575	Fructose-1%2C6-bisphosphatase%2C Bacillus type (EC 3.1.3.11)	
1254.353.peg.1220	HN015_06050	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX
1254.353.peg.1221	HN015_06055	Cell division trigger factor (EC 5.2.1.8)	
1254.353.peg.1222	HN015_06060	Translation elongation factor Tu	tuf
1254.353.peg.1223	HN015_06065	hypothetical protein	
1254.353.peg.1224	HN015_06070	Ribonuclease J2 (endoribonuclease in RNA processing)	
1254.353.peg.1225	HN015_06075	SSU ribosomal protein S15p (S13e)	rpsO
1254.353.peg.1226	HN015_06080	SSU ribosomal protein S20p	
1254.353.peg.1227	HN015_06085	DNA polymerase III delta subunit (EC 2.7.7.7)	holA
1254.353.peg.1228	HN015_06090	DNA internalization-related competence protein ComEC/Rec2	
1254.353.peg.1229	HN015_06095	dCMP deaminase (EC 3.5.4.12) @ Late competence protein ComEB	
1254.353.peg.123	HN015_00580	Mg2+ and Co2+ transporter	
1254.353.peg.1230	HN015_06100	Late competence protein ComEA%2C DNA receptor	
1254.353.peg.1231	HN015_06105	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)	coaD
1254.353.peg.1232	HN015_06110	16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)	rsmD
1254.353.peg.1233	HN015_06115	FIG00906708: hypothetical protein	
1254.353.peg.1234	HN015_06120	FtsW-like protein YlaO	
1254.353.peg.1235	HN015_06125	GTP-binding protein TypA/BipA	typA
1254.353.peg.1236	HN015_06130	Inositol-1-monophosphatase (EC 3.1.3.25)	
1254.353.peg.1237	HN015_06135	UPF0223 protein YktA	
1254.353.peg.1238	HN015_06140	Peptide deformylase (EC 3.5.1.88)	
1254.353.peg.1239	HN015_06145	hypothetical protein	
1254.353.peg.124	HN015_00585	Oxidoreductase%2C short-chain dehydrogenase/reductase family	
1254.353.peg.1240	HN015_06150	Protein of unknown function DUF1447	
1254.353.peg.1241	HN015_06155	Ribonuclease J1 (endonuclease and 5' exonuclease)	
1254.353.peg.1242	HN015_06160	hypothetical protein	
1254.353.peg.1243	HN015_06165	PTS system%2C fructose-specific IIA component (EC 2.7.1.202) / PTS system%2C fructose-specific IIB component (EC 2.7.1.202) / PTS system%2C fructose-specific IIC component	
1254.353.peg.1244	HN015_06170	1-phosphofructokinase (EC 2.7.1.56)	pfkB
1254.353.peg.1245	HN015_06175	Transcriptional repressor of the fructose operon%2C DeoR family	
1254.353.peg.1246	HN015_06180	UPF0118 membrane protein YdbI	
1254.353.peg.1247	HN015_06185	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	
1254.353.peg.1248	HN015_06190	RecD-like DNA helicase YrrC	
1254.353.peg.1249	HN015_06195	TPR repeat protein	
1254.353.peg.125	HN015_00590	Uncharacterized protein YdaT	
1254.353.peg.1250	HN015_06200	Phosphoglycerate mutase family 5	
1254.353.peg.1251	HN015_06205	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA
1254.353.peg.1252	HN015_06210	FIG00906563: hypothetical protein	
1254.353.peg.1253	HN015_06215	Cysteine desulfurase (EC 2.8.1.7)	
1254.353.peg.1254	HN015_06220	5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	
1254.353.peg.1255	HN015_06225	Small membrane protein	
1254.353.peg.1256	HN015_06230	ADP-ribose pyrophosphatase (EC 3.6.1.13)	
1254.353.peg.1257	HN015_06235	Cold shock protein of CSP family	
1254.353.peg.1258	HN015_06240	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	ileS
1254.353.peg.1259	HN015_06245	Cell division initiation protein DivIVA	
1254.353.peg.126	HN015_00595	hypothetical protein	
1254.353.peg.1260	HN015_06250	Putative RNA-binding protein YlmH	
1254.353.peg.1261	HN015_06255	Cell division integral membrane protein%2C YggT and half-length relatives	
1254.353.peg.1262	HN015_06260	Cell division protein FtsZ	ftsZ
